Subnet Calculation Results
------------------------------------------------------------------------
Subnet    Network Address   Host Range                      Broadcast Address
------------------------------------------------------------------------
1         17.16.0.0         17.16.0.1 - 17.16.0.62            17.16.0.63
2         17.16.0.64        17.16.0.65 - 17.16.0.126           17.16.0.127
3         17.16.0.128       17.16.0.129 - 17.16.0.190           17.16.0.191
4         17.16.0.192       17.16.0.193 - 17.16.0.254           17.16.0.255
5         17.16.1.0         17.16.1.1 - 17.16.1.62            17.16.1.63
6         17.16.1.64        17.16.1.65 - 17.16.1.126           17.16.1.127
7         17.16.1.128       17.16.1.129 - 17.16.1.190           17.16.1.191
8         17.16.1.192       17.16.1.193 - 17.16.1.254           17.16.1.255
9         17.16.2.0         17.16.2.1 - 17.16.2.62            17.16.2.63
10        17.16.2.64        17.16.2.65 - 17.16.2.126           17.16.2.127
11        17.16.2.128       17.16.2.129 - 17.16.2.190           17.16.2.191
12        17.16.2.192       17.16.2.193 - 17.16.2.254           17.16.2.255
13        17.16.3.0         17.16.3.1 - 17.16.3.62            17.16.3.63
14        17.16.3.64        17.16.3.65 - 17.16.3.126           17.16.3.127
15        17.16.3.128       17.16.3.129 - 17.16.3.190           17.16.3.191
16        17.16.3.192       17.16.3.193 - 17.16.3.254           17.16.3.255
17        17.16.4.0         17.16.4.1 - 17.16.4.62            17.16.4.63
18        17.16.4.64        17.16.4.65 - 17.16.4.126           17.16.4.127
19        17.16.4.128       17.16.4.129 - 17.16.4.190           17.16.4.191
20        17.16.4.192       17.16.4.193 - 17.16.4.254           17.16.4.255
21        17.16.5.0         17.16.5.1 - 17.16.5.62            17.16.5.63
22        17.16.5.64        17.16.5.65 - 17.16.5.126           17.16.5.127
23        17.16.5.128       17.16.5.129 - 17.16.5.190           17.16.5.191
24        17.16.5.192       17.16.5.193 - 17.16.5.254           17.16.5.255
25        17.16.6.0         17.16.6.1 - 17.16.6.62            17.16.6.63
26        17.16.6.64        17.16.6.65 - 17.16.6.126           17.16.6.127
27        17.16.6.128       17.16.6.129 - 17.16.6.190           17.16.6.191
28        17.16.6.192       17.16.6.193 - 17.16.6.254           17.16.6.255
29        17.16.7.0         17.16.7.1 - 17.16.7.62            17.16.7.63
30        17.16.7.64        17.16.7.65 - 17.16.7.126           17.16.7.127
31        17.16.7.128       17.16.7.129 - 17.16.7.190           17.16.7.191
32        17.16.7.192       17.16.7.193 - 17.16.7.254           17.16.7.255
33        17.16.8.0         17.16.8.1 - 17.16.8.62            17.16.8.63
34        17.16.8.64        17.16.8.65 - 17.16.8.126           17.16.8.127
35        17.16.8.128       17.16.8.129 - 17.16.8.190           17.16.8.191
36        17.16.8.192       17.16.8.193 - 17.16.8.254           17.16.8.255
37        17.16.9.0         17.16.9.1 - 17.16.9.62            17.16.9.63
38        17.16.9.64        17.16.9.65 - 17.16.9.126           17.16.9.127
39        17.16.9.128       17.16.9.129 - 17.16.9.190           17.16.9.191
40        17.16.9.192       17.16.9.193 - 17.16.9.254           17.16.9.255
41        17.16.10.0        17.16.10.1 - 17.16.10.62           17.16.10.63
42        17.16.10.64       17.16.10.65 - 17.16.10.126          17.16.10.127
43        17.16.10.128      17.16.10.129 - 17.16.10.190          17.16.10.191
44        17.16.10.192      17.16.10.193 - 17.16.10.254          17.16.10.255
45        17.16.11.0        17.16.11.1 - 17.16.11.62           17.16.11.63
46        17.16.11.64       17.16.11.65 - 17.16.11.126          17.16.11.127
47        17.16.11.128      17.16.11.129 - 17.16.11.190          17.16.11.191
48        17.16.11.192      17.16.11.193 - 17.16.11.254          17.16.11.255
49        17.16.12.0        17.16.12.1 - 17.16.12.62           17.16.12.63
50        17.16.12.64       17.16.12.65 - 17.16.12.126          17.16.12.127
51        17.16.12.128      17.16.12.129 - 17.16.12.190          17.16.12.191
52        17.16.12.192      17.16.12.193 - 17.16.12.254          17.16.12.255
53        17.16.13.0        17.16.13.1 - 17.16.13.62           17.16.13.63
54        17.16.13.64       17.16.13.65 - 17.16.13.126          17.16.13.127
55        17.16.13.128      17.16.13.129 - 17.16.13.190          17.16.13.191
56        17.16.13.192      17.16.13.193 - 17.16.13.254          17.16.13.255
57        17.16.14.0        17.16.14.1 - 17.16.14.62           17.16.14.63
58        17.16.14.64       17.16.14.65 - 17.16.14.126          17.16.14.127
59        17.16.14.128      17.16.14.129 - 17.16.14.190          17.16.14.191
60        17.16.14.192      17.16.14.193 - 17.16.14.254          17.16.14.255
